DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Fees,AMOUNT,BALANCE
4/25/24,09:32:36,TRD,1000429395615,BOT +39 SPY 100 25 APR 24 498 PUT @1.40 CBOE,-0.43,-25.35,"-5,460.00","216,479.98"
4/25/24,09:34:02,TRD,1000429395662,SOLD -39 SPY 100 25 APR 24 498 PUT @1.41 CBOE,-0.58,-25.35,"5,499.00","221,953.05"
4/25/24,09:34:23,TRD,1000429395678,BOT +15 SPY 100 25 APR 24 498 PUT @1.47 BATS,-0.16,-9.75,"-2,205.00","219,738.14"
4/25/24,09:34:23,TRD,1000429395678,BOT +24 SPY 100 25 APR 24 498 PUT @1.47 BATS,-0.27,-15.60,"-3,528.00","216,194.27"
4/25/24,09:34:52,TRD,1000429395689,SOLD -39 SPY 100 25 APR 24 498 PUT @1.50,-0.59,-25.35,"5,850.00","222,018.33"
4/25/24,09:35:15,TRD,1000429395703,BOT +39 SPY 100 25 APR 24 498 PUT @1.56,-0.43,-25.35,"-6,084.00","215,908.55"
4/25/24,09:35:42,TRD,1000429395716,SOLD -39 SPY 100 25 APR 24 498 PUT @1.31,-0.58,-25.35,"5,109.00","220,991.62"
4/25/24,09:36:11,TRD,1000429395735,BOT +39 SPY 100 25 APR 24 498 PUT @1.40 CBOE,-0.43,-25.35,"-5,460.00","215,505.84"
4/25/24,09:37:10,TRD,1000429395794,SOLD -39 SPY 100 25 APR 24 498 PUT @1.56,-0.59,-25.35,"6,084.00","221,563.90"
4/25/24,09:37:33,TRD,1000429395820,BOT +34 SPY 100 25 APR 24 498 PUT @1.44 NASDAQ,-0.37,-22.10,"-4,896.00","216,645.43"
4/25/24,09:37:33,TRD,1000429395820,BOT +5 SPY 100 25 APR 24 498 PUT @1.44,-0.06,-3.25,-720.00,"215,922.12"
4/25/24,09:38:13,TRD,1000429395861,SOLD -19 SPY 100 25 APR 24 498 PUT @1.54 CBOE,-0.28,-12.35,"2,926.00","218,835.49"
4/25/24,09:38:13,TRD,1000429395861,SOLD -10 SPY 100 25 APR 24 498 PUT @1.54 CBOE,-0.16,-6.50,"1,540.00","220,368.83"
4/25/24,09:38:13,TRD,1000429395861,SOLD -10 SPY 100 25 APR 24 498 PUT @1.54 CBOE,-0.15,-6.50,"1,540.00","221,902.18"
4/25/24,09:39:25,TRD,1000429395895,BOT +19 SPY 100 25 APR 24 498 PUT @1.51 CBOE,-0.21,-12.35,"-2,869.00","219,020.62"
4/25/24,09:39:25,TRD,1000429395895,BOT +9 SPY 100 25 APR 24 498 PUT @1.51 CBOE,-0.10,-5.85,"-1,359.00","217,655.67"
4/25/24,09:39:25,TRD,1000429395895,BOT +5 SPY 100 25 APR 24 498 PUT @1.51 CBOE,-0.05,-3.25,-755.00,"216,897.37"
4/25/24,09:39:25,TRD,1000429395895,BOT +6 SPY 100 25 APR 24 498 PUT @1.51 CBOE,-0.07,-3.90,-906.00,"215,987.40"
4/25/24,09:40:06,TRD,1000429395930,SOLD -7 SPY 100 25 APR 24 498 PUT @1.55 CBOE,-0.11,-4.55,"1,085.00","217,067.74"
4/25/24,09:40:06,TRD,1000429395930,SOLD -27 SPY 100 25 APR 24 498 PUT @1.55 CBOE,-0.39,-17.55,"4,185.00","221,234.80"
4/25/24,09:40:06,TRD,1000429395930,SOLD -5 SPY 100 25 APR 24 498 PUT @1.55 CBOE,-0.09,-3.25,775.00,"222,006.46"
4/25/24,09:41:25,TRD,1000429395971,BOT +19 SPY 100 25 APR 24 498 PUT @1.47 CBOE,-0.21,-12.35,"-2,793.00","219,200.90"
4/25/24,09:41:25,TRD,1000429395971,BOT +20 SPY 100 25 APR 24 498 PUT @1.47 CBOE,-0.22,-13.00,"-2,940.00","216,247.68"
4/25/24,09:41:36,TRD,1000429395976,SOLD -26 SPY 100 25 APR 24 498 PUT @1.56 BOX,-0.39,-16.90,"4,056.00","220,286.39"
4/25/24,09:41:36,TRD,1000429395976,SOLD -13 SPY 100 25 APR 24 498 PUT @1.57,-0.20,-8.45,"2,041.00","222,318.74"
4/25/24,09:42:06,TRD,1000429395993,BOT +29 SPY 100 25 APR 24 498 PUT @1.46 CBOE,-0.32,-18.85,"-4,234.00","218,065.57"
4/25/24,09:42:06,TRD,1000429395993,BOT +10 SPY 100 25 APR 24 498 PUT @1.46,-0.11,-6.50,"-1,460.00","216,598.96"
4/25/24,09:42:17,TRD,1000430190008,SOLD -39 SPY 100 25 APR 24 498 PUT @1.43,-0.58,-25.35,"5,577.00","222,150.03"
4/25/24,09:42:26,TRD,1000430190021,BOT +7 SPY 100 25 APR 24 499 CALL @1.64,-0.08,-4.55,"-1,148.00","220,997.40"
4/25/24,09:42:26,TRD,1000430190021,BOT +4 SPY 100 25 APR 24 499 CALL @1.64,-0.04,-2.60,-656.00,"220,338.76"
4/25/24,09:42:26,TRD,1000430190021,BOT +8 SPY 100 25 APR 24 499 CALL @1.64 BOX,-0.09,-5.20,"-1,312.00","219,021.47"
4/25/24,09:42:27,TRD,1000430190021,BOT +20 SPY 100 25 APR 24 499 CALL @1.64 BOX,-0.22,-13.00,"-3,280.00","215,728.25"
4/25/24,09:42:50,TRD,1000430190035,SOLD -11 SPY 100 25 APR 24 499 CALL @1.75 CBOE,-0.17,-7.15,"1,925.00","217,645.93"
4/25/24,09:42:50,TRD,1000430190035,SOLD -17 SPY 100 25 APR 24 499 CALL @1.75 CBOE,-0.26,-11.05,"2,975.00","220,609.62"
4/25/24,09:42:50,TRD,1000430190035,SOLD -11 SPY 100 25 APR 24 499 CALL @1.75 CBOE,-0.16,-7.15,"1,925.00","222,527.31"
4/25/24,09:43:46,TRD,1000430190088,BOT +39 SPY 100 25 APR 24 500 CALL @1.34,-0.43,-25.35,"-5,226.00","217,275.53"
4/25/24,09:44:03,TRD,1000430190097,SOLD -6 SPY 100 25 APR 24 500 CALL @1.37 CBOE,-0.10,-3.90,822.00,"218,093.53"
4/25/24,09:44:03,TRD,1000430190097,SOLD -5 SPY 100 25 APR 24 500 CALL @1.37 CBOE,-0.06,-3.25,685.00,"218,775.22"
4/25/24,09:44:03,TRD,1000430190097,SOLD -27 SPY 100 25 APR 24 500 CALL @1.36 CBOE,-0.41,-17.55,"3,672.00","222,429.26"
4/25/24,09:44:03,TRD,1000430190097,SOLD -1 SPY 100 25 APR 24 500 CALL @1.36 CBOE,-0.01,-0.65,136.00,"222,564.60"
4/25/24,09:44:24,TRD,1000430190105,BOT +5 SPY 100 25 APR 24 499 PUT @1.74 CBOE,-0.05,-3.25,-870.00,"221,691.30"
4/25/24,09:44:24,TRD,1000430190105,BOT +1 SPY 100 25 APR 24 499 PUT @1.75 CBOE,-0.02,-0.65,-175.00,"221,515.63"
4/25/24,09:44:24,TRD,1000430190105,BOT +26 SPY 100 25 APR 24 499 PUT @1.75 CBOE,-0.28,-16.90,"-4,550.00","216,948.45"
4/25/24,09:44:24,TRD,1000430190105,BOT +7 SPY 100 25 APR 24 499 PUT @1.75 CBOE,-0.08,-4.55,"-1,225.00","215,718.82"
4/25/24,09:45:45,TRD,1000430190146,SOLD -30 SPY 100 25 APR 24 499 PUT @1.64 NASDAQ,-0.45,-19.50,"4,920.00","220,618.87"
4/25/24,09:45:45,TRD,1000430190146,SOLD -5 SPY 100 25 APR 24 499 PUT @1.63,-0.08,-3.25,815.00,"221,430.54"
4/25/24,09:45:45,TRD,1000430190146,SOLD -4 SPY 100 25 APR 24 499 PUT @1.63,-0.06,-2.60,652.00,"222,079.88"
4/25/24,09:45:58,TRD,1000430190150,BOT +39 SPY 100 25 APR 24 500 CALL @1.42 CBOE,-0.43,-25.35,"-5,538.00","216,516.10"
4/25/24,09:47:11,TRD,1000430190177,SOLD -39 SPY 100 25 APR 24 500 CALL @1.30 CBOE,-0.58,-25.35,"5,070.00","221,560.17"
4/25/24,09:47:42,TRD,1000430190188,BOT +30 SPY 100 25 APR 24 498 PUT @1.31 BOX,-0.33,-19.50,"-3,930.00","217,610.34"
4/25/24,09:47:42,TRD,1000430190188,BOT +9 SPY 100 25 APR 24 498 PUT @1.30,-0.10,-5.85,"-1,170.00","216,434.39"
4/25/24,09:49:02,TRD,1000430190202,SOLD -1 SPY 100 25 APR 24 498 PUT @1.44 CBOE,-0.01,-0.65,144.00,"216,577.73"
4/25/24,09:49:02,TRD,1000430190202,SOLD -11 SPY 100 25 APR 24 498 PUT @1.43 CBOE,-0.16,-7.15,"1,573.00","218,143.42"
4/25/24,09:49:02,TRD,1000430190202,SOLD -12 SPY 100 25 APR 24 498 PUT @1.43 CBOE,-0.19,-7.80,"1,716.00","219,851.43"
4/25/24,09:49:02,TRD,1000430190202,SOLD -15 SPY 100 25 APR 24 498 PUT @1.43 CBOE,-0.22,-9.75,"2,145.00","221,986.46"
4/25/24,09:49:35,TRD,1000430190211,BOT +15 SPY 100 25 APR 24 498 PUT @1.49,-0.16,-9.75,"-2,235.00","219,741.55"
4/25/24,09:49:35,TRD,1000430190211,BOT +16 SPY 100 25 APR 24 498 PUT @1.49,-0.18,-10.40,"-2,384.00","217,346.97"
4/25/24,09:49:35,TRD,1000430190211,BOT +8 SPY 100 25 APR 24 498 PUT @1.48 CBOE,-0.09,-5.20,"-1,184.00","216,157.68"
4/25/24,09:49:52,TRD,1000430190224,SOLD -34 SPY 100 25 APR 24 498 PUT @1.44 CBOE,-0.50,-22.10,"4,896.00","221,031.08"
4/25/24,09:49:53,TRD,1000430190224,SOLD -5 SPY 100 25 APR 24 498 PUT @1.44 CBOE,-0.08,-3.25,720.00,"221,747.75"
4/25/24,09:50:02,TRD,1000430190231,BOT +15 SPY 100 25 APR 24 498 PUT @1.49,-0.16,-9.75,"-2,235.00","219,502.84"
4/25/24,09:50:02,TRD,1000430190231,BOT +24 SPY 100 25 APR 24 498 PUT @1.49,-0.27,-15.60,"-3,576.00","215,910.97"
4/25/24,09:50:51,TRD,1000430190248,SOLD -39 SPY 100 25 APR 24 498 PUT @1.36 CBOE,-0.58,-25.35,"5,304.00","221,189.04"
4/25/24,09:51:04,TRD,1000430190254,BOT +15 SPY 100 25 APR 24 498 PUT @1.45 CBOE,-0.16,-9.75,"-2,175.00","219,004.13"
4/25/24,09:51:05,TRD,1000430190254,BOT +10 SPY 100 25 APR 24 498 PUT @1.45 CBOE,-0.11,-6.50,"-1,450.00","217,547.52"
4/25/24,09:51:05,TRD,1000430190254,BOT +10 SPY 100 25 APR 24 498 PUT @1.45 CBOE,-0.11,-6.50,"-1,450.00","216,090.91"
4/25/24,09:51:05,TRD,1000430190254,BOT +4 SPY 100 25 APR 24 498 PUT @1.45 CBOE,-0.05,-2.60,-580.00,"215,508.26"
4/25/24,09:51:12,TRD,1000430190256,SOLD -5 SPY 100 25 APR 24 498 PUT @1.50 CBOE,-0.07,-3.25,750.00,"216,254.94"
4/25/24,09:51:12,TRD,1000430190256,SOLD -20 SPY 100 25 APR 24 498 PUT @1.50 CBOE,-0.30,-13.00,"3,000.00","219,241.64"
4/25/24,09:51:12,TRD,1000430190256,SOLD -8 SPY 100 25 APR 24 498 PUT @1.50 CBOE,-0.12,-5.20,"1,200.00","220,436.32"
4/25/24,09:51:12,TRD,1000430190256,SOLD -1 SPY 100 25 APR 24 498 PUT @1.50 CBOE,-0.01,-0.65,150.00,"220,585.66"
4/25/24,09:51:12,TRD,1000430190256,SOLD -1 SPY 100 25 APR 24 498 PUT @1.49 CBOE,-0.02,-0.65,149.00,"220,733.99"
4/25/24,09:51:12,TRD,1000430190256,SOLD -1 SPY 100 25 APR 24 498 PUT @1.49 CBOE,-0.02,-0.65,149.00,"220,882.32"
4/25/24,09:51:12,TRD,1000430190256,SOLD -3 SPY 100 25 APR 24 498 PUT @1.49 CBOE,-0.05,-1.95,447.00,"221,327.32"
4/25/24,09:52:21,TRD,1000430190280,BOT +5 SPY 100 25 APR 24 498 PUT @1.69 CBOE,-0.05,-3.25,-845.00,"220,479.02"
4/25/24,09:52:21,TRD,1000430190280,BOT +5 SPY 100 25 APR 24 498 PUT @1.69 CBOE,-0.06,-3.25,-845.00,"219,630.71"
4/25/24,09:52:21,TRD,1000430190280,BOT +29 SPY 100 25 APR 24 498 PUT @1.69 CBOE,-0.32,-18.85,"-4,901.00","214,710.54"
4/25/24,09:54:04,TRD,1000430190308,BOT +39 SPY 100 25 APR 24 498 PUT @1.60,-0.43,-25.35,"-6,240.00","208,444.76"
4/25/24,09:54:11,TRD,1000430190312,SOLD -31 SPY 100 25 APR 24 498 PUT @1.68,-0.47,-20.15,"5,208.00","213,632.14"
4/25/24,09:54:11,TRD,1000430190312,SOLD -8 SPY 100 25 APR 24 498 PUT @1.68 BOX,-0.12,-5.20,"1,344.00","214,970.82"
4/25/24,09:54:16,TRD,1000430190315,SOLD -5 SPY 100 25 APR 24 498 PUT @1.63 CBOE,-0.07,-3.25,815.00,"215,782.50"
4/25/24,09:54:16,TRD,1000430190315,SOLD -3 SPY 100 25 APR 24 498 PUT @1.63 CBOE,-0.05,-1.95,489.00,"216,269.50"
4/25/24,09:54:16,TRD,1000430190315,SOLD -31 SPY 100 25 APR 24 498 PUT @1.64 CBOE,-0.47,-20.15,"5,084.00","221,332.88"
4/25/24,09:57:00,TRD,1000430190405,BOT +39 SPY 100 25 APR 24 498 PUT @1.69 CBOE,-0.43,-25.35,"-6,591.00","214,716.10"
4/25/24,09:58:26,TRD,1000430190422,SOLD -39 SPY 100 25 APR 24 498 PUT @1.57 CBOE,-0.59,-25.35,"6,123.00","220,813.16"
4/25/24,09:58:37,TRD,1000430190427,BOT +28 SPY 100 25 APR 24 499 CALL @1.49 BOX,-0.31,-18.20,"-4,172.00","216,622.65"
4/25/24,09:58:37,TRD,1000430190427,BOT +11 SPY 100 25 APR 24 499 CALL @1.49 BOX,-0.12,-7.15,"-1,639.00","214,976.38"
4/25/24,09:59:19,TRD,1000430190441,SOLD -39 SPY 100 25 APR 24 499 CALL @1.41 CBOE,-0.58,-25.35,"5,499.00","220,449.45"
4/25/24,09:59:51,TRD,1000430190462,BOT +5 SPY 100 25 APR 24 498 PUT @1.64 CBOE,-0.05,-3.25,-820.00,"219,626.15"
4/25/24,09:59:51,TRD,1000430190462,BOT +11 SPY 100 25 APR 24 498 PUT @1.64 CBOE,-0.13,-7.15,"-1,804.00","217,814.87"
4/25/24,09:59:51,TRD,1000430190462,BOT +22 SPY 100 25 APR 24 498 PUT @1.64 CBOE,-0.24,-14.30,"-3,608.00","214,192.33"
4/25/24,09:59:51,TRD,1000430190462,BOT +1 SPY 100 25 APR 24 498 PUT @1.64 CBOE,-0.01,-0.65,-164.00,"214,027.67"
4/25/24,10:00:21,TRD,1000430190477,SOLD -5 SPY 100 25 APR 24 498 PUT @1.64 CBOE,-0.07,-3.25,820.00,"214,844.35"
4/25/24,10:00:21,TRD,1000430190477,SOLD -2 SPY 100 25 APR 24 498 PUT @1.64 CBOE,-0.04,-1.30,328.00,"215,171.01"
4/25/24,10:00:21,TRD,1000430190477,SOLD -5 SPY 100 25 APR 24 498 PUT @1.64 CBOE,-0.07,-3.25,820.00,"215,987.69"
4/25/24,10:00:21,TRD,1000430190477,SOLD -1 SPY 100 25 APR 24 498 PUT @1.64 CBOE,-0.02,-0.65,164.00,"216,151.02"
4/25/24,10:00:21,TRD,1000430190477,SOLD -15 SPY 100 25 APR 24 498 PUT @1.64 CBOE,-0.23,-9.75,"2,460.00","218,601.04"
4/25/24,10:00:21,TRD,1000430190477,SOLD -11 SPY 100 25 APR 24 498 PUT @1.64 CBOE,-0.16,-7.15,"1,804.00","220,397.73"
4/25/24,10:01:38,TRD,1000430190498,BOT +39 SPY 100 25 APR 24 497 PUT @1.38 CBOE,-0.43,-25.35,"-5,382.00","214,989.95"
4/25/24,10:05:29,TRD,1000430190559,SOLD -39 SPY 100 25 APR 24 497 PUT @1.12 CBOE,-0.57,-25.35,"4,368.00","219,332.03"
4/25/24,10:06:20,TRD,1000430190582,BOT +39 SPY 100 25 APR 24 497 PUT @1.23,-0.43,-25.35,"-4,797.00","214,509.25"
4/25/24,10:08:03,TRD,1000430190604,SOLD -39 SPY 100 25 APR 24 497 PUT @1.09,-0.57,-25.35,"4,251.00","218,734.33"
4/25/24,10:08:34,TRD,1000430190617,BOT +39 SPY 100 25 APR 24 499 CALL @1.39 CBOE,-0.43,-25.35,"-5,421.00","213,287.55"
4/25/24,10:08:50,TRD,1000430190637,SOLD -39 SPY 100 25 APR 24 499 CALL @1.36 CBOE,-0.58,-25.35,"5,304.00","218,565.62"
4/25/24,10:11:28,TRD,1000430190695,BOT +13 SPY 100 25 APR 24 499 CALL @1.49,-0.14,-8.45,"-1,937.00","216,620.03"
4/25/24,10:12:34,TRD,1000430190708,SOLD -13 SPY 100 25 APR 24 499 CALL @1.50 CBOE,-0.20,-8.45,"1,950.00","218,561.38"
4/25/24,10:13:02,TRD,1000430190717,BOT +13 SPY 100 25 APR 24 499 CALL @1.61 NASDAQ,-0.14,-8.45,"-2,093.00","216,459.79"
4/25/24,10:14:10,TRD,1000430190743,SOLD -13 SPY 100 25 APR 24 499 CALL @1.60 CBOE,-0.20,-8.45,"2,080.00","218,531.14"
4/25/24,10:14:35,TRD,1000430190748,BOT +3 SPY 100 25 APR 24 500 CALL @1.21,-0.03,-1.95,-363.00,"218,166.16"
4/25/24,10:14:35,TRD,1000430190748,BOT +10 SPY 100 25 APR 24 500 CALL @1.21,-0.11,-6.50,"-1,210.00","216,949.55"
4/25/24,10:16:02,TRD,1000430190778,SOLD -13 SPY 100 25 APR 24 500 CALL @1.13,-0.19,-8.45,"1,469.00","218,409.91"
4/25/24,10:17:02,TRD,1000430190800,BOT +13 SPY 100 25 APR 24 499 CALL @1.65,-0.14,-8.45,"-2,145.00","216,256.32"
4/25/24,10:18:23,TRD,1000430190833,SOLD -5 SPY 100 25 APR 24 499 CALL @1.86 NASDAQ,-0.07,-3.25,930.00,"217,183.00"
4/25/24,10:18:24,TRD,1000430190833,SOLD -3 SPY 100 25 APR 24 499 CALL @1.86,-0.05,-1.95,558.00,"217,739.00"
4/25/24,10:18:24,TRD,1000430190833,SOLD -5 SPY 100 25 APR 24 499 CALL @1.86,-0.08,-3.25,930.00,"218,665.67"
4/25/24,10:19:13,TRD,1000430190849,BOT +1 SPY 100 25 APR 24 499 CALL @1.83 CBOE,-0.01,-0.65,-183.00,"218,482.01"
4/25/24,10:19:13,TRD,1000430190849,BOT +12 SPY 100 25 APR 24 499 CALL @1.82 CBOE,-0.13,-7.80,"-2,184.00","216,290.08"
4/25/24,10:20:46,TRD,1000430190877,SOLD -13 SPY 100 25 APR 24 499 CALL @1.80 CBOE,-0.20,-8.45,"2,340.00","218,621.43"
4/25/24,10:21:37,TRD,1000430190895,BOT +13 SPY 100 25 APR 24 499 CALL @1.78,-0.14,-8.45,"-2,314.00","216,298.84"
4/25/24,10:22:01,TRD,1000430190905,SOLD -13 SPY 100 25 APR 24 499 CALL @1.85 CBOE,-0.20,-8.45,"2,405.00","218,695.19"
4/25/24,10:22:15,TRD,1000430190910,BOT +5 SPY 100 25 APR 24 499 CALL @1.82,-0.05,-3.25,-910.00,"217,781.89"
4/25/24,10:22:15,TRD,1000430190910,BOT +4 SPY 100 25 APR 24 499 CALL @1.82,-0.05,-2.60,-728.00,"217,051.24"
4/25/24,10:22:15,TRD,1000430190910,BOT +4 SPY 100 25 APR 24 499 CALL @1.82,-0.04,-2.60,-728.00,"216,320.60"
4/25/24,10:22:28,TRD,1000430190914,SOLD -13 SPY 100 25 APR 24 499 CALL @1.86 CBOE,-0.20,-8.45,"2,418.00","218,729.95"
4/25/24,10:23:03,TRD,1000430190939,BOT +13 SPY 100 25 APR 24 499 CALL @1.84 NASDAQ,-0.14,-8.45,"-2,392.00","216,329.36"
4/25/24,10:23:30,TRD,1000430190964,SOLD -10 SPY 100 25 APR 24 499 CALL @1.87 CBOE,-0.15,-6.50,"1,870.00","218,192.71"
4/25/24,10:23:30,TRD,1000430190964,SOLD -1 SPY 100 25 APR 24 499 CALL @1.87 CBOE,-0.02,-0.65,187.00,"218,379.04"
4/25/24,10:23:30,TRD,1000430190964,SOLD -1 SPY 100 25 APR 24 499 CALL @1.87 CBOE,-0.01,-0.65,187.00,"218,565.38"
4/25/24,10:23:30,TRD,1000430190964,SOLD -1 SPY 100 25 APR 24 499 CALL @1.87 CBOE,-0.02,-0.65,187.00,"218,751.71"
4/25/24,10:23:59,TRD,1000430190973,BOT +13 SPY 100 25 APR 24 499 CALL @1.88 CBOE,-0.14,-8.45,"-2,444.00","216,299.12"
4/25/24,10:24:44,TRD,1000430190992,SOLD -13 SPY 100 25 APR 24 499 CALL @1.95 CBOE,-0.20,-8.45,"2,535.00","218,825.47"
4/25/24,10:26:40,TRD,1000430191022,BOT +5 SPY 100 25 APR 24 500 CALL @1.35 CBOE,-0.05,-3.25,-675.00,"218,147.17"
4/25/24,10:26:40,TRD,1000430191022,BOT +34 SPY 100 25 APR 24 500 CALL @1.34 CBOE,-0.38,-22.10,"-4,556.00","213,568.69"
4/25/24,10:27:13,TRD,1000430191043,SOLD -39 SPY 100 25 APR 24 500 CALL @1.38 NASDAQ,-0.58,-25.35,"5,382.00","218,924.76"
4/25/24,10:27:46,TRD,1000430191053,BOT +39 SPY 100 25 APR 24 500 CALL @1.34 CBOE,-0.43,-25.35,"-5,226.00","213,672.98"
4/25/24,10:28:32,TRD,1000430191070,SOLD -39 SPY 100 25 APR 24 500 CALL @1.43,-0.58,-25.35,"5,577.00","219,224.05"
4/25/24,10:29:03,TRD,1000430191093,BOT +39 SPY 100 25 APR 24 500 CALL @1.37 CBOE,-0.43,-25.35,"-5,343.00","213,855.27"
4/25/24,10:29:52,TRD,1000430191112,SOLD -39 SPY 100 25 APR 24 500 CALL @1.40 CBOE,-0.58,-25.35,"5,460.00","219,289.34"
4/25/24,10:30:11,TRD,1000430191119,BOT +1 SPY 100 25 APR 24 500 CALL @1.37,-0.01,-0.65,-137.00,"219,151.68"
4/25/24,10:30:11,TRD,1000430191119,BOT +38 SPY 100 25 APR 24 500 CALL @1.37 CBOE,-0.42,-24.70,"-5,206.00","213,920.56"
4/25/24,10:30:59,TRD,1000430191132,SOLD -5 SPY 100 25 APR 24 500 CALL @1.38 CBOE,-0.07,-3.25,690.00,"214,607.24"
4/25/24,10:30:59,TRD,1000430191132,SOLD -3 SPY 100 25 APR 24 500 CALL @1.38 CBOE,-0.05,-1.95,414.00,"215,019.24"
4/25/24,10:30:59,TRD,1000430191132,SOLD -5 SPY 100 25 APR 24 500 CALL @1.37 CBOE,-0.07,-3.25,685.00,"215,700.92"
4/25/24,10:30:59,TRD,1000430191132,SOLD -11 SPY 100 25 APR 24 500 CALL @1.38 CBOE,-0.17,-7.15,"1,518.00","217,211.60"
4/25/24,10:30:59,TRD,1000430191132,SOLD -8 SPY 100 25 APR 24 500 CALL @1.38 CBOE,-0.12,-5.20,"1,104.00","218,310.28"
4/25/24,10:30:59,TRD,1000430191132,SOLD -7 SPY 100 25 APR 24 500 CALL @1.38 CBOE,-0.10,-4.55,966.00,"219,271.63"
4/25/24,10:32:23,TRD,1000430191151,BOT +39 SPY 100 25 APR 24 500 CALL @1.35 CBOE,-0.43,-25.35,"-5,265.00","213,980.85"
4/25/24,10:33:05,TRD,1000430191169,SOLD -39 SPY 100 25 APR 24 500 CALL @1.28 CBOE,-0.58,-25.35,"4,992.00","218,946.92"
4/25/24,10:33:53,TRD,1000430191184,BOT +3 SPY 100 25 APR 24 498 PUT @1.02 CBOE,-0.03,-1.95,-306.00,"218,638.94"
4/25/24,10:33:53,TRD,1000430191184,BOT +5 SPY 100 25 APR 24 498 PUT @1.02 CBOE,-0.06,-3.25,-510.00,"218,125.63"
4/25/24,10:33:53,TRD,1000430191184,BOT +1 SPY 100 25 APR 24 498 PUT @1.02 CBOE,-0.01,-0.65,-102.00,"218,022.97"
4/25/24,10:33:53,TRD,1000430191184,BOT +7 SPY 100 25 APR 24 498 PUT @1.02 CBOE,-0.08,-4.55,-714.00,"217,304.34"
4/25/24,10:33:53,TRD,1000430191184,BOT +8 SPY 100 25 APR 24 498 PUT @1.02 CBOE,-0.08,-5.20,-816.00,"216,483.06"
